Date/Time,Min (count/min),Max (count/min),Avg (count/min),Context,Source
2026-01-10 16:36:07,107,107,107,,Q
2026-01-10 16:36:09,106,106,106,,Q
2026-01-10 16:36:14,101,101,101,,Q
2026-01-10 16:36:20,107,107,107,,Q
2026-01-10 16:36:27,100,100,100,,Q
2026-01-10 16:36:31,102,102,102,,Q
2026-01-10 16:36:34,102,102,102,,Q
2026-01-10 16:36:40,101,101,101,,Q
2026-01-10 16:36:48,104,104,104,,Q
2026-01-10 16:36:50,104,104,104,,Q
2026-01-10 16:36:55,103,103,103,,Q
2026-01-10 16:37:03,108,108,108,,Q
2026-01-10 16:37:04,108,108,108,,Q
2026-01-10 16:37:13,107,107,107,,Q
2026-01-10 16:37:14,107,107,107,,Q
2026-01-10 16:37:19,110,110,110,,Q
2026-01-10 16:37:28,124,124,124,,Q
2026-01-10 16:37:32,126,126,126,,Q
2026-01-10 16:37:35,125,125,125,,Q
2026-01-10 16:37:40,131,131,131,,Q
2026-01-10 16:37:46,127,127,127,,Q
2026-01-10 16:37:53,115,115,115,,Q
2026-01-10 16:37:58,120,120,120,,Q
2026-01-10 16:38:03,123,123,123,,Q
