Date/Time,Min (count/min),Max (count/min),Avg (count/min),Context,Source
2026-01-13 06:09:42,84,95,89.72,,Q
2026-01-13 06:10:42,79,87,83.46,,Q
2026-01-13 06:11:42,78,98,87.38,,Q
2026-01-13 06:12:42,81,95,87.79,,Q
2026-01-13 06:13:42,83,100,90.96,,Q
2026-01-13 06:14:42,87,98,92.1,,Q
2026-01-13 06:15:42,77,93,84.49,,Q
2026-01-13 06:16:42,79,87,82.62,,Q
2026-01-13 06:17:42,74,84,78.66,,Q
2026-01-13 06:18:42,75,78,76.94,,Q
2026-01-13 06:19:42,77,90,84.85,,Q
2026-01-13 06:20:42,77,103,88.94,,Q
2026-01-13 06:21:42,85,104,94.4,,Q
2026-01-13 06:22:42,101,101,101,,Q
