Date/Time,Active Energy (kcal),Source
2026-01-08 16:31:01,2,Q
2026-01-08 16:32:01,3.85,Q
2026-01-08 16:33:01,8.72,Q
2026-01-08 16:34:01,11.28,Q
2026-01-08 16:35:01,11.59,Q
2026-01-08 16:36:01,11.98,Q
2026-01-08 16:37:01,8.15,Q
2026-01-08 16:38:01,12.32,Q
2026-01-08 16:39:01,12.06,Q
2026-01-08 16:40:01,4.67,Q
2026-01-08 16:41:01,4.8,Q
2026-01-08 16:42:01,10.5,Q
2026-01-08 16:43:01,3.91,Q
2026-01-08 16:44:01,10.09,Q
2026-01-08 16:45:01,12.11,Q
2026-01-08 16:46:01,7.89,Q
2026-01-08 16:47:01,4.35,Q
2026-01-08 16:48:01,4.03,Q
2026-01-08 16:49:01,4.04,Q
2026-01-08 16:50:01,3.38,Q
2026-01-08 16:51:01,0.496,Q
