Date/Time,Min (count/min),Max (count/min),Avg (count/min),Context,Source
2026-01-13 06:06:22,136,136,136,,Q
2026-01-13 06:06:27,126,126,126,,Q
2026-01-13 06:06:32,124,124,124,,Q
2026-01-13 06:06:35,124,124,124,,Q
2026-01-13 06:06:38,122,122,122,,Q
2026-01-13 06:06:47,118,118,118,,Q
2026-01-13 06:06:50,117,117,117,,Q
2026-01-13 06:06:53,115,115,115,,Q
2026-01-13 06:06:58,114,114,114,,Q
2026-01-13 06:07:07,111,111,111,,Q
2026-01-13 06:07:08,110,110,110,,Q
2026-01-13 06:07:13,109,109,109,,Q
2026-01-13 06:07:21,108,108,108,,Q
2026-01-13 06:07:23,107,107,107,,Q
2026-01-13 06:07:31,105,105,105,,Q
2026-01-13 06:07:36,108,108,108,,Q
2026-01-13 06:07:42,106,106,106,,Q
2026-01-13 06:07:47,104,104,104,,Q
2026-01-13 06:07:48,103,103,103,,Q
2026-01-13 06:07:53,105,105,105,,Q
2026-01-13 06:08:01,103,103,103,,Q
2026-01-13 06:08:07,100,100,100,,Q
2026-01-13 06:08:08,100,100,100,,Q
2026-01-13 06:08:16,100,100,100,,Q
