Date/Time,Min (count/min),Max (count/min),Avg (count/min),Context,Source
2026-01-08 16:31:01,69,89,77.98,,Q
2026-01-08 16:32:01,91,95,92.61,,Q
2026-01-08 16:33:01,92,106,98.62,,Q
2026-01-08 16:34:01,134,142,138.28,,Q
2026-01-08 16:35:01,143,144,143.26,,Q
2026-01-08 16:36:01,143,145,144,,Q
2026-01-08 16:37:01,141,144,142.81,,Q
2026-01-08 16:38:01,149,151,150.04,,Q
2026-01-08 16:39:01,143,146,144.5,,Q
2026-01-08 16:40:01,118,139,128.16,,Q
2026-01-08 16:41:01,114,119,117.02,,Q
2026-01-08 16:42:01,121,153,140.76,,Q
2026-01-08 16:43:01,133,150,142.4,,Q
2026-01-08 16:44:01,130,160,145.91,,Q
2026-01-08 16:45:01,162,164,163.39,,Q
2026-01-08 16:46:01,160,164,162.15,,Q
2026-01-08 16:47:01,155,161,158.48,,Q
2026-01-08 16:48:01,136,136,136,,Q
