Date/Time,Min (count/min),Max (count/min),Avg (count/min),Context,Source
2026-01-08 17:08:56,130,130,130,,Q
2026-01-08 17:08:58,129,129,129,,Q
2026-01-08 17:09:02,128,128,128,,Q
2026-01-08 17:09:11,118,118,118,,Q
2026-01-08 17:09:15,117,117,117,,Q
2026-01-08 17:09:17,118,118,118,,Q
2026-01-08 17:09:22,124,124,124,,Q
2026-01-08 17:09:27,121,121,121,,Q
2026-01-08 17:09:36,114,114,114,,Q
2026-01-08 17:09:41,112,112,112,,Q
2026-01-08 17:09:43,111,111,111,,Q
2026-01-08 17:09:47,113,113,113,,Q
2026-01-08 17:09:54,110,110,110,,Q
2026-01-08 17:09:57,110,110,110,,Q
2026-01-08 17:10:02,110,110,110,,Q
2026-01-08 17:10:11,112,112,112,,Q
2026-01-08 17:10:16,112,112,112,,Q
2026-01-08 17:10:17,111,111,111,,Q
2026-01-08 17:10:26,110,110,110,,Q
2026-01-08 17:10:27,111,111,111,,Q
2026-01-08 17:10:33,111,111,111,,Q
2026-01-08 17:10:41,108,108,108,,Q
2026-01-08 17:10:42,107,107,107,,Q
2026-01-08 17:10:50,109,109,109,,Q
2026-01-08 17:10:52,109,109,109,,Q
