Date/Time,Min (count/min),Max (count/min),Avg (count/min),Context,Source
2026-01-12 06:26:19,73,92,81.43,,Q
2026-01-12 06:27:19,71,75,72.35,,Q
2026-01-12 06:28:19,73,81,77.17,,Q
2026-01-12 06:29:19,80,97,87.52,,Q
2026-01-12 06:30:19,85,103,94.52,,Q
2026-01-12 06:31:19,72,101,89.2,,Q
2026-01-12 06:32:19,80,94,83.55,,Q
2026-01-12 06:33:19,81,106,90.71,,Q
2026-01-12 06:34:19,83,93,87.7,,Q
2026-01-12 06:35:19,95,104,100.78,,Q
2026-01-12 06:36:19,98,121,108.06,,Q
2026-01-12 06:37:19,89,103,93.74,,Q
2026-01-12 06:38:19,88,99,93,,Q
2026-01-12 06:39:19,92,106,98.55,,Q
2026-01-12 06:40:19,102,119,109.3,,Q
2026-01-12 06:41:19,93,107,98.48,,Q
2026-01-12 06:42:19,90,106,98.69,,Q
2026-01-12 06:43:19,97,128,112.6,,Q
2026-01-12 06:44:19,92,109,102.37,,Q
2026-01-12 06:45:19,93,108,96.96,,Q
2026-01-12 06:46:19,90,107,98.1,,Q
