Date/Time,Resting Energy (kcal),Source
2026-01-12 06:26:19,1.77,Q
2026-01-12 06:27:19,1.51,Q
2026-01-12 06:28:19,1.93,Q
2026-01-12 06:29:19,2.06,Q
2026-01-12 06:30:19,1.6,Q
2026-01-12 06:31:19,1.7,Q
2026-01-12 06:32:19,1.87,Q
2026-01-12 06:33:19,1.69,Q
2026-01-12 06:34:19,1.71,Q
2026-01-12 06:35:19,2.06,Q
2026-01-12 06:36:19,1.81,Q
2026-01-12 06:37:19,2.03,Q
2026-01-12 06:38:19,2.06,Q
2026-01-12 06:39:19,1.93,Q
2026-01-12 06:40:19,2.06,Q
2026-01-12 06:41:19,2.03,Q
2026-01-12 06:42:19,1.9,Q
2026-01-12 06:43:19,2.06,Q
2026-01-12 06:44:19,2.06,Q
2026-01-12 06:45:19,2.06,Q
2026-01-12 06:46:19,1.88,Q
