Date/Time,Active Energy (kcal),Source
2026-01-11 13:02:50,3.03,Q
2026-01-11 13:03:50,4.07,Q
2026-01-11 13:04:50,3.44,Q
2026-01-11 13:05:50,3.37,Q
2026-01-11 13:06:50,3.41,Q
2026-01-11 13:07:50,3.35,Q
2026-01-11 13:08:50,3.1,Q
2026-01-11 13:09:50,2.51,Q
2026-01-11 13:10:50,1.86,Q
2026-01-11 13:11:50,1.12,Q
2026-01-11 13:12:50,0.448,Q
2026-01-11 13:13:50,0.252,Q
2026-01-11 13:14:50,0.481,Q
2026-01-11 13:15:50,0.219,Q
2026-01-11 13:16:50,0.175,Q
2026-01-11 13:17:50,0.393,Q
2026-01-11 13:18:50,0.22,Q
2026-01-11 13:19:50,0.404,Q
2026-01-11 13:20:50,1.11,Q
2026-01-11 13:21:50,0.091,Q
2026-01-11 13:22:50,0.526,Q
2026-01-11 13:23:50,0.669,Q
2026-01-11 13:25:50,0.298,Q
2026-01-11 13:26:50,0.096,Q
2026-01-11 13:27:50,0.03,Q
2026-01-11 13:28:50,0.084,Q
2026-01-11 13:29:50,0.039,Q
2026-01-11 13:30:50,0.07,Q
2026-01-11 13:31:50,0.206,Q
2026-01-11 13:32:50,0.199,Q
2026-01-11 13:33:50,0.236,Q
2026-01-11 13:35:50,0.011,Q
2026-01-11 13:36:50,2.33,Q
2026-01-11 13:37:50,2.4,Q
2026-01-11 13:38:50,2.96,Q
2026-01-11 13:39:50,2.87,Q
2026-01-11 13:40:50,2.9,Q
2026-01-11 13:41:50,2.91,Q
2026-01-11 13:42:50,2.88,Q
2026-01-11 13:43:50,2.87,Q
2026-01-11 13:44:50,3.17,Q
2026-01-11 13:45:50,3.25,Q
2026-01-11 13:46:50,3.3,Q
2026-01-11 13:47:50,2.53,Q
2026-01-11 13:48:50,1.8,Q
2026-01-11 13:49:50,1.7,Q
2026-01-11 13:50:50,1.27,Q
2026-01-11 13:51:50,0.732,Q
