Date/Time,Min (count/min),Max (count/min),Avg (count/min),Context,Source
2026-01-10 17:04:28,100,100,100,,Q
2026-01-10 17:04:33,99,99,99,,Q
2026-01-10 17:04:40,96,96,96,,Q
2026-01-10 17:04:45,96,96,96,,Q
2026-01-10 17:04:50,97,97,97,,Q
2026-01-10 17:04:51,97,97,97,,Q
2026-01-10 17:04:56,97,97,97,,Q
2026-01-10 17:05:04,98,98,98,,Q
2026-01-10 17:05:06,98,98,98,,Q
2026-01-10 17:05:14,96,96,96,,Q
2026-01-10 17:05:20,96,96,96,,Q
2026-01-10 17:05:25,97,97,97,,Q
2026-01-10 17:05:27,96,96,96,,Q
2026-01-10 17:05:31,96,96,96,,Q
2026-01-10 17:05:40,97,97,97,,Q
2026-01-10 17:05:45,98,98,98,,Q
2026-01-10 17:05:50,97,97,97,,Q
2026-01-10 17:05:55,96,96,96,,Q
2026-01-10 17:06:11,95,95,95,,Q
