Date/Time,Resting Energy (kcal),Source
2026-01-11 13:02:50,2.04,Q
2026-01-11 13:03:50,2.07,Q
2026-01-11 13:04:50,2.07,Q
2026-01-11 13:05:50,2.07,Q
2026-01-11 13:06:50,2.07,Q
2026-01-11 13:07:50,2.07,Q
2026-01-11 13:08:50,2.07,Q
2026-01-11 13:09:50,2.06,Q
2026-01-11 13:10:50,2.06,Q
2026-01-11 13:11:50,2.06,Q
2026-01-11 13:12:50,1.78,Q
2026-01-11 13:13:50,1.83,Q
2026-01-11 13:14:50,1.46,Q
2026-01-11 13:15:50,1.3,Q
2026-01-11 13:16:50,1.78,Q
2026-01-11 13:17:50,1.45,Q
2026-01-11 13:18:50,1.36,Q
2026-01-11 13:19:50,1.99,Q
2026-01-11 13:20:50,1.65,Q
2026-01-11 13:21:50,1.3,Q
2026-01-11 13:22:50,1.8,Q
2026-01-11 13:23:50,1.71,Q
2026-01-11 13:24:50,1.3,Q
2026-01-11 13:25:50,1.62,Q
2026-01-11 13:26:50,1.37,Q
2026-01-11 13:27:50,1.43,Q
2026-01-11 13:28:50,1.3,Q
2026-01-11 13:29:50,1.42,Q
2026-01-11 13:30:50,1.54,Q
2026-01-11 13:31:50,1.32,Q
2026-01-11 13:32:50,1.56,Q
2026-01-11 13:33:50,1.21,Q
2026-01-11 13:34:50,1.3,Q
2026-01-11 13:35:50,1.32,Q
2026-01-11 13:36:50,2.07,Q
2026-01-11 13:37:50,2.07,Q
2026-01-11 13:38:50,2.07,Q
2026-01-11 13:39:50,2.07,Q
2026-01-11 13:40:50,2.07,Q
2026-01-11 13:41:50,2.07,Q
2026-01-11 13:42:50,2.07,Q
2026-01-11 13:43:50,2.07,Q
2026-01-11 13:44:50,2.07,Q
2026-01-11 13:45:50,2.07,Q
2026-01-11 13:46:50,2.07,Q
2026-01-11 13:47:50,2.07,Q
2026-01-11 13:48:50,2.07,Q
2026-01-11 13:49:50,2.07,Q
2026-01-11 13:50:50,2.07,Q
2026-01-11 13:51:50,1.71,Q
