Date/Time,Walking + Running Distance (mi),Source
2026-01-10 16:49:27,0.05,Q
2026-01-10 16:50:27,0.047,Q
2026-01-10 16:51:27,0.05,Q
2026-01-10 16:52:27,0.037,Q|Moneypenny
2026-01-10 16:53:27,0.04,Q|Moneypenny
2026-01-10 16:54:27,0.048,Q|Moneypenny
2026-01-10 16:55:27,0.047,Q|Moneypenny
2026-01-10 16:56:27,0.049,Q|Moneypenny
2026-01-10 16:57:27,0.048,Q|Moneypenny
2026-01-10 16:58:27,0.05,Q|Moneypenny
2026-01-10 16:59:27,0.051,Q|Moneypenny
2026-01-10 17:00:27,0.057,Q|Moneypenny
2026-01-10 17:01:27,0.049,Q|Moneypenny
2026-01-10 17:02:27,0.045,Q|Moneypenny
2026-01-10 17:03:27,0.034,Q|Moneypenny
