Date/Time,Walking + Running Distance (mi),Source
2026-01-11 13:02:50,0.027,Q
2026-01-11 13:03:50,0.042,Q|Moneypenny
2026-01-11 13:04:50,0.044,Q|Moneypenny
2026-01-11 13:05:50,0.042,Q|Moneypenny
2026-01-11 13:06:50,0.04,Q|Moneypenny
2026-01-11 13:07:50,0.038,Q|Moneypenny
2026-01-11 13:08:50,0.029,Q|Moneypenny
2026-01-11 13:09:50,0.022,Q|Moneypenny
2026-01-11 13:10:50,0.001,Q|Moneypenny
2026-01-11 13:11:50,0.004,Q|Moneypenny
2026-01-11 13:23:50,0.004,Q|Moneypenny
2026-01-11 13:36:50,0.027,Q|Moneypenny
2026-01-11 13:37:50,0.024,Q|Moneypenny
2026-01-11 13:38:50,0.037,Q|Moneypenny
2026-01-11 13:39:50,0.037,Q|Moneypenny
2026-01-11 13:40:50,0.038,Q|Moneypenny
2026-01-11 13:41:50,0.034,Q|Moneypenny
2026-01-11 13:42:50,0.035,Q|Moneypenny
2026-01-11 13:43:50,0.032,Q|Moneypenny
2026-01-11 13:44:50,0.04,Q|Moneypenny
2026-01-11 13:45:50,0.041,Q|Moneypenny
2026-01-11 13:46:50,0.031,Q|Moneypenny
2026-01-11 13:47:50,0.01,Q|Moneypenny
2026-01-11 13:48:50,0.007,Q|Moneypenny
2026-01-11 13:49:50,0.008,Q|Moneypenny
2026-01-11 13:50:50,0.005,Q|Moneypenny
