Date/Time,Active Energy (kcal),Source
2026-01-12 05:51:08,5.09,Q
2026-01-12 05:52:08,5.12,Q
2026-01-12 05:53:08,5.18,Q
2026-01-12 05:54:08,5.28,Q
2026-01-12 05:55:08,5.16,Q
2026-01-12 05:56:08,5.74,Q
2026-01-12 05:57:08,5.15,Q
2026-01-12 05:58:08,5.8,Q
2026-01-12 05:59:08,5.49,Q
2026-01-12 06:00:08,5.2,Q
2026-01-12 06:01:08,5.89,Q
2026-01-12 06:02:08,5.35,Q
2026-01-12 06:03:08,5.12,Q
2026-01-12 06:04:08,5.12,Q
2026-01-12 06:05:08,5.15,Q
2026-01-12 06:06:08,5.22,Q
2026-01-12 06:07:08,5.21,Q
2026-01-12 06:08:08,5.15,Q
2026-01-12 06:09:08,5.12,Q
2026-01-12 06:10:08,5.25,Q
2026-01-12 06:11:08,5.23,Q
2026-01-12 06:12:08,5.16,Q
2026-01-12 06:13:08,5.25,Q
2026-01-12 06:14:08,5.35,Q
2026-01-12 06:15:08,5.3,Q
2026-01-12 06:16:08,5.49,Q
2026-01-12 06:17:08,5.36,Q
2026-01-12 06:18:08,5.33,Q
2026-01-12 06:19:08,5.25,Q
2026-01-12 06:20:08,5.12,Q
2026-01-12 06:21:08,5.39,Q
2026-01-12 06:22:08,5.37,Q
2026-01-12 06:23:08,5.28,Q
2026-01-12 06:24:08,5.12,Q
2026-01-12 06:25:08,4.95,Q
