Date/Time,Min (count/min),Max (count/min),Avg (count/min),Context,Source
2026-01-09 06:31:34,83,83,83,,Q
2026-01-09 06:31:39,81,81,81,,Q
2026-01-09 06:31:44,80,80,80,,Q
2026-01-09 06:31:50,82,82,82,,Q
2026-01-09 06:31:58,81,81,81,,Q
2026-01-09 06:32:03,78,78,78,,Q
2026-01-09 06:32:08,78,78,78,,Q
2026-01-09 06:32:12,77,77,77,,Q
2026-01-09 06:32:18,77,77,77,,Q
2026-01-09 06:32:20,78,78,78,,Q
2026-01-09 06:32:24,77,77,77,,Q
2026-01-09 06:32:29,78,78,78,,Q
2026-01-09 06:32:38,81,81,81,,Q
2026-01-09 06:32:40,81,81,81,,Q
2026-01-09 06:32:44,82,82,82,,Q
2026-01-09 06:32:49,83,83,83,,Q
2026-01-09 06:32:57,84,84,84,,Q
2026-01-09 06:33:00,84,84,84,,Q
2026-01-09 06:33:08,84,84,84,,Q
2026-01-09 06:33:13,83,83,83,,Q
2026-01-09 06:33:18,82,82,82,,Q
2026-01-09 06:33:19,83,83,83,,Q
2026-01-09 06:33:26,81,81,81,,Q
