Date/Time,Min (count/min),Max (count/min),Avg (count/min),Context,Source
2026-01-09 06:08:33,72,84,78.32,,Q
2026-01-09 06:09:33,85,89,86.77,,Q
2026-01-09 06:10:33,75,87,82.79,,Q
2026-01-09 06:11:33,74,95,84.99,,Q
2026-01-09 06:12:33,87,97,93.49,,Q
2026-01-09 06:13:33,87,106,94.81,,Q
2026-01-09 06:14:33,77,104,90.39,,Q
2026-01-09 06:15:33,83,92,89.33,,Q
2026-01-09 06:16:33,76,104,93.08,,Q
2026-01-09 06:17:33,91,99,95.13,,Q
2026-01-09 06:18:33,82,98,90.55,,Q
2026-01-09 06:19:33,94,109,100.32,,Q
2026-01-09 06:20:33,78,87,83.39,,Q
2026-01-09 06:21:33,70,97,82.54,,Q
2026-01-09 06:22:33,89,102,95.84,,Q
2026-01-09 06:23:33,80,94,86.65,,Q
2026-01-09 06:24:33,80,105,94.23,,Q
2026-01-09 06:25:33,90,103,96.81,,Q
2026-01-09 06:26:33,82,98,89.08,,Q
2026-01-09 06:27:33,74,81,77.2,,Q
2026-01-09 06:28:33,77,100,89.55,,Q
2026-01-09 06:29:33,91,96,93.56,,Q
2026-01-09 06:30:33,81,92,86.93,,Q
