Date/Time,Resting Energy (kcal),Source
2026-01-11 10:36:09,2.01,Q
2026-01-11 10:37:09,1.59,Q
2026-01-11 10:38:09,1.29,Q
2026-01-11 10:39:09,1.42,Q
2026-01-11 10:40:09,1.59,Q
2026-01-11 10:41:09,1.46,Q
2026-01-11 10:42:09,1.67,Q
2026-01-11 10:43:09,2.07,Q
2026-01-11 10:44:09,2.01,Q
2026-01-11 10:45:09,2.05,Q
2026-01-11 10:46:09,2.07,Q
2026-01-11 10:47:09,2.07,Q
2026-01-11 10:48:09,2,Q
2026-01-11 10:49:09,2.07,Q
2026-01-11 10:50:09,2,Q
2026-01-11 10:51:09,1.31,Q
2026-01-11 10:52:09,1.9,Q
2026-01-11 10:53:09,2.07,Q
2026-01-11 10:54:09,1.9,Q
2026-01-11 10:55:09,2.07,Q
2026-01-11 10:56:09,2.07,Q
2026-01-11 10:57:09,2.07,Q
2026-01-11 10:58:09,1.83,Q
2026-01-11 10:59:09,1.57,Q
2026-01-11 11:00:09,2,Q
2026-01-11 11:01:09,1.95,Q
2026-01-11 11:02:09,2.05,Q
2026-01-11 11:03:09,2.07,Q
2026-01-11 11:04:09,1.97,Q
2026-01-11 11:05:09,2.03,Q
2026-01-11 11:06:09,1.9,Q
2026-01-11 11:07:09,2.06,Q
2026-01-11 11:08:09,2.04,Q
2026-01-11 11:09:09,1.9,Q
2026-01-11 11:10:09,2.03,Q
2026-01-11 11:11:09,2.07,Q
2026-01-11 11:12:09,2,Q
2026-01-11 11:13:09,2.07,Q
2026-01-11 11:14:09,1.74,Q
