Date/Time,Walking + Running Distance (mi),Source
2026-01-09 06:08:33,0.013,Moneypenny
2026-01-09 06:09:33,0.043,Moneypenny
2026-01-09 06:10:33,0.001,Moneypenny
2026-01-09 06:14:33,0.012,Q|Moneypenny
2026-01-09 06:15:33,0.015,Q|Moneypenny
2026-01-09 06:16:33,0.015,Q|Moneypenny
2026-01-09 06:17:33,0.015,Q|Moneypenny
2026-01-09 06:18:33,0.015,Q|Moneypenny
2026-01-09 06:19:33,0.015,Q|Moneypenny
2026-01-09 06:20:33,0.015,Q|Moneypenny
2026-01-09 06:21:33,0.015,Q|Moneypenny
2026-01-09 06:22:33,0,Q|Moneypenny
2026-01-09 06:24:33,0.009,Q|Moneypenny
2026-01-09 06:25:33,0.011,Q|Moneypenny
2026-01-09 06:26:33,0.011,Q|Moneypenny
2026-01-09 06:27:33,0.011,Q|Moneypenny
2026-01-09 06:28:33,0.011,Q|Moneypenny
2026-01-09 06:29:33,0.011,Q|Moneypenny
2026-01-09 06:30:33,0.011,Q|Moneypenny
