Date/Time,Walking + Running Distance (mi),Source
2026-01-11 10:42:09,0.001,Q
2026-01-11 10:43:09,0.012,Q|Moneypenny
2026-01-11 10:44:09,0.012,Q|Moneypenny
2026-01-11 10:45:09,0.012,Q|Moneypenny
2026-01-11 10:46:09,0.012,Q|Moneypenny
2026-01-11 10:47:09,0.012,Q|Moneypenny
2026-01-11 10:48:09,0.012,Q|Moneypenny
2026-01-11 10:49:09,0.012,Q|Moneypenny
2026-01-11 10:50:09,0.012,Q|Moneypenny
2026-01-11 10:51:09,0.012,Q|Moneypenny
2026-01-11 10:52:09,0.011,Q|Moneypenny
2026-01-11 10:53:09,0.007,Q|Moneypenny
2026-01-11 10:54:09,0.007,Q|Moneypenny
2026-01-11 10:55:09,0.007,Q|Moneypenny
2026-01-11 10:56:09,0.007,Q|Moneypenny
2026-01-11 10:57:09,0.007,Q|Moneypenny
2026-01-11 10:58:09,0.007,Q|Moneypenny
2026-01-11 10:59:09,0.007,Q|Moneypenny
2026-01-11 11:00:09,0.007,Q|Moneypenny
2026-01-11 11:01:09,0.007,Q|Moneypenny
2026-01-11 11:02:09,0.007,Q|Moneypenny
2026-01-11 11:03:09,0.008,Q|Moneypenny
2026-01-11 11:04:09,0.008,Q|Moneypenny
2026-01-11 11:05:09,0.008,Q|Moneypenny
2026-01-11 11:06:09,0.008,Q|Moneypenny
2026-01-11 11:07:09,0.008,Q|Moneypenny
2026-01-11 11:08:09,0.008,Q|Moneypenny
2026-01-11 11:09:09,0.008,Q|Moneypenny
2026-01-11 11:10:09,0.008,Q|Moneypenny
2026-01-11 11:11:09,0.008,Q|Moneypenny
2026-01-11 11:12:09,0.008,Q|Moneypenny
2026-01-11 11:13:09,0.023,Q|Moneypenny
2026-01-11 11:14:09,0.024,Q|Moneypenny
