Workout Type,Start,End,Duration,Active Energy (kcal),Resting Energy (kcal),Intensity (kcal/hr·kg),Max. Heart Rate (count/min),Avg. Heart Rate (count/min),Distance (mi),Max. Speed (mi/hr),Avg. Speed (mi/hr),Flights Climbed,Elevation Ascended (ft),Elevation Descended (ft),Step Count,Step Cadence (spm),Swimming Stroke Count,Swim Cadence (spm),Lap Length (mi),Swim Stroke Style,SWOLF Score,Water Salinity,Temperature (degF),Humidity (%),Location,
Mind & Body,2026-01-13 06:26,2026-01-13 06:48,00:22:00,151.7417806666728,40.748012192030146,3.5726782614508594,152.0,111.77949738374997,0.0,0.0,0.0,0.0,0.0,0.0,120.33652202228109,5.467189416154135,0.0,0.0,0.0,,0.0,,0.0,0.0,,
Core Training,2026-01-13 06:09,2026-01-13 06:22,00:13:05,45.154537535272205,27.283000000000005,3.4242455060067583,104.0,87.37973850882757,0.0,0.0,0.0,0.0,0.0,0.0,156.63253894256567,11.965710552483229,0.0,0.0,0.0,,0.0,,47.68526306151931,60.0,Indoor,
Indoor Run,2026-01-13 05:53,2026-01-13 06:06,00:12:35,107.08278878722082,26.903000000000002,6.43704135357306,166.0,141.98179824467704,0.8291235160676399,0.0,0.0,0.0,0.0,0.0,1512.0,120.05412519151777,0.0,0.0,0.0,,0.0,,47.536571693416285,60.0,Indoor,
Mind & Body,2026-01-12 06:26,2026-01-12 06:46,00:20:34,117.07119169382678,39.813925359600375,2.165864156683043,128.0,94.03727220831331,0.0,0.0,0.0,0.0,0.0,0.0,178.20305709048768,8.664506646676445,0.0,0.0,0.0,,0.0,,44.57426195144243,69.0,,
Traditional Strength Training,2026-01-12 05:51,2026-01-12 06:26,00:34:57,184.37799999999936,66.48924273534831,2.0661685023173018,110.0,83.77077139553646,0.0,0.0,0.0,0.0,0.0,0.0,773.1129730606833,22.116992153078094,0.0,0.0,0.0,,0.0,,0.0,0.0,Indoor,
Outdoor Walk,2026-01-11 13:02,2026-01-11 13:52,00:24:56,68.22114758875047,89.41460515724981,2.2719822130960936,102.0,86.71681039951491,0.6875652964488866,0.0,0.0,0.0,23.22834645669291,0.0,1531.8334133287353,61.40430166897637,0.0,0.0,0.0,,0.0,,70.8412155151324,33.0,Outdoor,
Mind & Body,2026-01-11 11:26,2026-01-11 11:33,00:07:12,53.522999999999975,14.923165367489345,4.5632737147426985,137.0,117.08854166371134,0.0,0.0,0.0,0.0,0.0,0.0,242.53829025781516,33.644920456477664,0.0,0.0,0.0,,0.0,,67.03070373534727,39.0,,
Core Training,2026-01-11 11:17,2026-01-11 11:26,00:09:14,48.10500000000012,19.008000000000003,4.585209542707866,113.0,101.46865223293074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,66.44310684203674,40.0,Indoor,
Traditional Strength Training,2026-01-11 10:36,2026-01-11 11:15,00:38:56,218.7458401454275,73.9894610011383,2.5030958816929014,137.0,93.56639826070123,0.0,0.0,0.0,0.0,0.0,0.0,736.0202287726752,18.900517742570308,0.0,0.0,0.0,,0.0,,0.0,0.0,Indoor,
Outdoor Walk,2026-01-10 16:49,2026-01-10 17:04,00:14:49,60.56799999999995,30.793999999999997,3.8636176296088913,105.0,99.23148181895894,0.7025843645695089,0.0,0.0,0.0,45.308398950131235,0.0,1131.7946484843483,76.31269529662315,0.0,0.0,0.0,,0.0,,62.88570289611391,43.0,Outdoor,
Mind & Body,2026-01-10 16:36,2026-01-10 16:46,00:10:00,72.56199999999995,19.447999999999997,4.582380098773828,135.0,116.91116218124172,0.0,0.0,0.0,0.0,0.0,0.0,208.0,20.76572868772504,0.0,0.0,0.0,,0.0,,63.81729202270082,41.0,,
Core Training,2026-01-10 16:24,2026-01-10 16:36,00:11:36,48.715999999999994,24.118999999999993,3.8405331860101013,122.0,91.81086397655008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,64.92283592223694,39.0,Indoor,
Outdoor Walk,2026-01-10 16:05,2026-01-10 16:19,00:14:38,81.1990000000001,30.88299999999999,4.769442038265206,102.0,94.77272727272727,0.8090867248386154,0.0,0.0,0.0,0.0,0.0,897.9999999999999,61.32825430132509,0.0,0.0,0.0,,0.0,,66.22017021178772,38.0,Outdoor,
Outdoor Walk,2026-01-10 13:38,2026-01-10 14:00,00:22:01,71.20937712284599,47.76158290187312,3.246163477966273,94.0,87.3116750157783,0.669655739254597,0.0,0.0,0.0,21.25984251968504,0.0,1127.6146314885418,51.20278286623143,0.0,0.0,0.0,,0.0,,65.99655036925842,33.0,Outdoor,
Mind & Body,2026-01-09 06:32,2026-01-09 06:48,00:15:36,81.35774281683572,31.10920090462681,1.7755117890628134,113.0,91.84382097102981,0.0,0.0,0.0,0.0,0.0,0.0,44.0,2.817855594915392,0.0,0.0,0.0,,0.0,,42.24229192733356,53.0,,
Traditional Strength Training,2026-01-09 06:08,2026-01-09 06:31,00:22:59,118.94906070174368,46.61970996233229,2.3072970081798077,109.0,89.38085368683345,0.0,0.0,0.0,0.0,0.0,0.0,581.3824522202286,25.29171135136522,0.0,0.0,0.0,,0.0,,0.0,0.0,Indoor,
Mind & Body,2026-01-08 16:53,2026-01-08 17:08,00:15:09,105.10300000000021,29.072443932457094,3.691221350053956,138.0,112.85440549767678,0.0,0.0,0.0,0.0,0.0,0.0,122.0,8.046756112290234,0.0,0.0,0.0,,0.0,,53.907555389400116,48.0,,
Indoor Run,2026-01-08 16:31,2026-01-08 16:51,00:20:06,151.9938963141403,41.803,5.984405104213293,164.0,134.7977452741413,1.2353948568076383,0.0,0.0,0.0,0.0,0.0,2402.9999999999995,119.53320190653007,0.0,0.0,0.0,,0.0,,55.73188667296944,45.0,Indoor,
Core Training,2026-01-07 16:08,2026-01-07 16:38,00:30:06,134.18413501912895,62.97088849256894,3.967195699830992,104.0,82.01989047760682,0.0,0.0,0.0,0.0,0.0,0.0,337.24019159078296,11.202594451253171,0.0,0.0,0.0,,0.0,,62.37196846007876,55.00000000000001,Indoor,
